query,place_url,place_title,category,address,website,phone,plus_code,rating,reviews,price_range,description,latitude,longitude,sunday,monday,tuesday,wednesday,thursday,friday,saturday,place_id,status,timestamp,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20
ac maintenance  for cars automobile Qatar Al Bidda,"https://www.google.com/maps/place/Ac+service+maintenance+,/data=!4m7!3m6!1s0x3e45c53421ba72f9:0x9080822030d7cb68!8m2!3d25.2688873!4d51.5337795!16s%2Fg%2F11s93tg7cg!19sChIJ-XK6ITTFRT4RaMvXMCCCgJA?authuser=0&hl=en&rclk=1","Ac service maintenance ,",notavailable,"Al Mansoura St, Doha",acservicemaintenance.com,3130 7507,0x3e45c53421ba72f9:0x9080822030d7cb68,4.9,111,notavailable,notavailable,25.2688873,51.5337795,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c53421ba72f9:0x9080822030d7cb68,success,2026-03-03T02:41:15.614Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Ac+Service+Doha/data=!4m7!3m6!1s0x3e45c54a808ebd0f:0xa02bc8ea095c0479!8m2!3d25.2702871!4d51.5435672!16s%2Fg%2F11ngtfh4_x!19sChIJD72OgErFRT4ReQRcCerIK6A?authuser=0&hl=en&rclk=1,Ac Service Doha,notavailable,"Building 5, street - 970, Doha",acservicesdoha.com,3126 2008,0x3e45c54a808ebd0f:0xa02bc8ea095c0479,4.9,67,notavailable,notavailable,25.2702871,51.5435672,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c54a808ebd0f:0xa02bc8ea095c0479,success,2026-03-03T02:41:34.359Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/AC+Fixing+24/data=!4m7!3m6!1s0x3e45c50fb77f289d:0x1e835ce8f4b2d235!8m2!3d25.2696204!4d51.5380653!16s%2Fg%2F11nh4hml0g!19sChIJnSh_tw_FRT4RNdKy9Ohcgx4?authuser=0&hl=en&rclk=1,AC Fixing 24,notavailable,"9 Al Mansoura St, Doha",acfixing24.com,3086 7293,0x3e45c50fb77f289d:0x1e835ce8f4b2d235,4.8,60,notavailable,notavailable,25.2696204,51.5380653,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c50fb77f289d:0x1e835ce8f4b2d235,success,2026-03-03T02:41:43.891Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Ac+Services+Qatar/data=!4m7!3m6!1s0x3e45c52717fcd91d:0xd5da83372d028ace!8m2!3d25.2649352!4d51.5327971!16s%2Fg%2F11vxpnc2cv!19sChIJHdn8FyfFRT4RzooCLTeD2tU?authuser=0&hl=en&rclk=1,Ac Services Qatar,notavailable,"Al Mansoura St, Doha",acservicesqatar.com,3304 1940,0x3e45c52717fcd91d:0xd5da83372d028ace,4.7,48,notavailable,notavailable,25.2649352,51.5327971,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c52717fcd91d:0xd5da83372d028ace,success,2026-03-03T02:41:54.615Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Ac+service+repair+Ac+maintenance+doha+Qatar/data=!4m7!3m6!1s0x3e45c5b3499e56ab:0xcdce9349594e0d4!8m2!3d25.2648421!4d51.5364821!16s%2Fg%2F11h1m40cym!19sChIJq1aeSbPFRT4R1OCUlTTp3Aw?authuser=0&hl=en&rclk=1,Ac service repair Ac maintenance doha Qatar,notavailable,"905 Hamza Bin Malik St, Doha",acrepair-maintenance.com,3332 6213,0x3e45c5b3499e56ab:0xcdce9349594e0d4,4.9,25,notavailable,notavailable,25.2648421,51.5364821,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c5b3499e56ab:0xcdce9349594e0d4,success,2026-03-03T02:42:04.505Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Qatar+Ac+maintenance/data=!4m7!3m6!1s0x3e45cfea0b8a36e1:0xaf69384a9a63dbf!8m2!3d25.2619626!4d51.5486611!16s%2Fg%2F11y3wnhyzw!19sChIJ4TaKC-rPRT4Rvz2mqYST9go?authuser=0&hl=en&rclk=1,Qatar Ac maintenance,notavailable,"262, Doha",qataracservicerepair.com,5507 6023,0x3e45cfea0b8a36e1:0xaf69384a9a63dbf,4.8,17,notavailable,notavailable,25.2619626,51.5486611,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45cfea0b8a36e1:0xaf69384a9a63dbf,success,2026-03-03T02:42:16.123Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/AC+Repair+%26+Service+Buy+Sale+in+Qatar/data=!4m7!3m6!1s0x27c41c8a6c8f147d:0x5b4c05e045157fd3!8m2!3d25.2672385!4d51.5258483!16s%2Fg%2F11wq71j7ly!19sChIJfRSPbIocxCcR038VReAFTFs?authuser=0&hl=en&rclk=1,AC Repair & Service Buy Sale in Qatar,notavailable,"850, Doha",acmaintenanceserviceqatar.com,3071 3743,0x27c41c8a6c8f147d:0x5b4c05e045157fd3,5.0,12,notavailable,notavailable,25.2672385,51.5258483,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x27c41c8a6c8f147d:0x5b4c05e045157fd3,success,2026-03-03T02:42:26.090Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,"https://www.google.com/maps/place/AC+Maintenance+Repair+%26+Services,+Doha+Qatar/data=!4m7!3m6!1s0x3e45cf177a1fcf6f:0x1892d24a2f96191b!8m2!3d25.2619812!4d51.5430193!16s%2Fg%2F11f77c10sv!19sChIJb88fehfPRT4RGxmWL0rSkhg?authuser=0&hl=en&rclk=1","AC Maintenance Repair & Services, Doha Qatar",notavailable,"Hassan Bin Thabit St, Doha",notavailable,3349 3376,0x3e45cf177a1fcf6f:0x1892d24a2f96191b,4.4,29,notavailable,notavailable,25.2619812,51.5430193,9 AM-12 AM,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45cf177a1fcf6f:0x1892d24a2f96191b,success,2026-03-03T02:42:36.256Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Plaza+garage/data=!4m7!3m6!1s0x3e45d0d8edf22543:0xaf54d45f8115c322!8m2!3d25.198307!4d51.4445127!16s%2Fg%2F11d_d48328!19sChIJQyXy7djQRT4RIsMVgV_UVK8?authuser=0&hl=en&rclk=1,Plaza garage,notavailable,Al-Rayyan,notavailable,5061 0633,0x3e45d0d8edf22543:0xaf54d45f8115c322,4.9,157,notavailable,notavailable,25.198307,51.4445127,7 AM-10 PM,7 AM-10 PM,7 AM-10 PM,7 AM-10 PM,7 AM-10 PM,Closed,7 AM-10 PM,0x3e45d0d8edf22543:0xaf54d45f8115c322,success,2026-03-03T02:42:55.774Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Abu+Hindi+Auto+Spare+Parts+A%2FC+Repairing/data=!4m7!3m6!1s0x3e45d0b69503c2e5:0x8dab3dfc12ebeb0d!8m2!3d25.2185182!4d51.4376949!16s%2Fg%2F11g8gtm28j!19sChIJ5cIDlbbQRT4RDevrEvw9q40?authuser=0&hl=en&rclk=1,Abu Hindi Auto Spare Parts A/C Repairing,notavailable,"E Industrial St, Doha",notavailable,4460 3449,0x3e45d0b69503c2e5:0x8dab3dfc12ebeb0d,3.8,81,notavailable,notavailable,25.2185182,51.4376949,7 AM-1 PM3-9 PM,7 AM-1 PM3-11 PM,7 AM-1 PM3-11 PM,7 AM-1 PM3-11 PM,7 AM-1 PM3-11 PM,Closed,7 AM-1 PM3-11 PM,0x3e45d0b69503c2e5:0x8dab3dfc12ebeb0d,success,2026-03-03T02:43:05.936Z,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweppRX3ss8ds4e9UroYdYFJwg6LLLBCQ-SnZkfSEl-rb6P0FGiZ45xDEbjMe0i1XXqyNoOp9s1fpJaOXzbWuVvglBHcuqP-aYe001J5nOV88fyjOdBH7eSJ5KnADBQ1yRGazc6sx2w=w408-h544-k-no,https://lh3.googleusercontent.com/gps-cs-s/AHVAweppRX3ss8ds4e9UroYdYFJwg6LLLBCQ-SnZkfSEl-rb6P0FGiZ45xDEbjMe0i1XXqyNoOp9s1fpJaOXzbWuVvglBHcuqP-aYe001J5nOV88fyjOdBH7eSJ5KnADBQ1yRGazc6sx2w=w224-h298-k-no,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Al Bidda,https://www.google.com/maps/place/Top+Auto+Electricals/data=!4m7!3m6!1s0x3e45c57b2830c43d:0xb3af854c408ee121!8m2!3d25.2762581!4d51.5472152!16s%2Fg%2F11c5_63dwr!19sChIJPcQwKHvFRT4RIeGOQEyFr7M?authuser=0&hl=en&rclk=1,Top Auto Electricals,notavailable,"7GGW+GV4, Doha",notavailable,5591 3192,0x3e45c57b2830c43d:0xb3af854c408ee121,4.3,24,notavailable,notavailable,25.2762581,51.5472152,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,9 AM-9 PM,4-8 PM,9 AM-9 PM,0x3e45c57b2830c43d:0xb3af854c408ee121,success,2026-03-03T02:43:14.542Z,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqY2fqASES4gNjSjdZQiSndepbv4MWtFlT1YZNSITBfNrknS_CC4W0o8mBSNv17P9RhpGzKk9Ycm-PBxy-EYLHEM9B2DpFV-3CZEVzTOvSqgm-P0VViBGgH6qZIzLXJftBND488=w408-h306-k-no,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqY2fqASES4gNjSjdZQiSndepbv4MWtFlT1YZNSITBfNrknS_CC4W0o8mBSNv17P9RhpGzKk9Ycm-PBxy-EYLHEM9B2DpFV-3CZEVzTOvSqgm-P0VViBGgH6qZIzLXJftBND488=w397-h298-k-no,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Education City,https://www.google.com/maps/place/A%2FC+Repair+in+Qatar/data=!4m7!3m6!1s0x242a038affc946f7:0x58306128d4049a9d!8m2!3d25.3225848!4d51.5067111!16s%2Fg%2F11v098rsn4!19sChIJ90bJ_4oDKiQRnZoE1ChhMFg?authuser=0&hl=en&rclk=1,A/C Repair in Qatar,notavailable,"970, Doha",gulftradingmaintenance.com,5569 5453,0x242a038affc946f7:0x58306128d4049a9d,4.8,97,notavailable,notavailable,25.3225848,51.5067111,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x242a038affc946f7:0x58306128d4049a9d,success,2026-03-03T02:44:14.481Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Education City,"https://www.google.com/maps/place/Amin+AC+Maintenance+%7C+Doha,+Qatar/data=!4m7!3m6!1s0x3e45c5e5a16b3427:0xc27f616940e9c865!8m2!3d25.2677649!4d51.5411679!16s%2Fg%2F11fj_jcwvj!19sChIJJzRroeXFRT4RZcjpQGlhf8I?authuser=0&hl=en&rclk=1","Amin AC Maintenance | Doha, Qatar",notavailable,Doha,aminelectronicsqatar.com,6684 9638,0x3e45c5e5a16b3427:0xc27f616940e9c865,4.7,36,notavailable,notavailable,25.2677649,51.5411679,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c5e5a16b3427:0xc27f616940e9c865,success,2026-03-03T02:44:22.572Z,,,,,,,,,,,,,,,,,,,,
ac maintenance  for cars automobile Qatar Education City,https://www.google.com/maps/place/DOHA+AC+REPAIR+SERVICES/data=!4m7!3m6!1s0x3e45c56dcc4045df:0x5cf3e6b7838f97e8!8m2!3d25.2694465!4d51.5358422!16s%2Fg%2F11sgx25kcj!19sChIJ30VAzG3FRT4R6JePg7fm81w?authuser=0&hl=en&rclk=1,DOHA AC REPAIR SERVICES,notavailable,Doha,dohaacservice.com,5502 0567,0x3e45c56dcc4045df:0x5cf3e6b7838f97e8,4.9,98,notavailable,notavailable,25.2694465,51.5358422,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45c56dcc4045df:0x5cf3e6b7838f97e8,success,2026-03-03T02:44:30.382Z,,,,,,,,,,,,,,,,,,,,
