query,place_url,place_title,category,address,website,phone,plus_code,rating,reviews,price_range,description,latitude,longitude,sunday,monday,tuesday,wednesday,thursday,friday,saturday,place_id,status,timestamp,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20
car auto tire change,https://www.google.com/maps/place/Axis+Automobile+%26+Transport+%28AA%29/data=!4m7!3m6!1s0x3e45dace6e7c9577:0xbb21dc9f0449687f!8m2!3d25.2691755!4d51.527368!16s%2Fg%2F11ddywggmn!19sChIJd5V8bs7aRT4Rf2hJBJ_cIbs?authuser=0&hl=en&rclk=1,Axis Automobile & Transport (AA),notavailable,"850, zone 25 Office 204 building, Street, 132 Al Mansoura, Doha",aaqatar.com,3003 1241,0x3e45dace6e7c9577:0xbb21dc9f0449687f,4.8,401,notavailable,notavailable,25.2691755,51.527368,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,0x3e45dace6e7c9577:0xbb21dc9f0449687f,success,2026-03-02T20:41:39.171Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/Mobile+Tyre+Service+in+Qatar/data=!4m7!3m6!1s0x3e460d3f9af41079:0x9d1b7d1d27bbadb8!8m2!3d25.2748138!4d51.524877!16s%2Fg%2F11hkxfl1ps!19sChIJeRD0mj8NRj4RuK27Jx19G50?authuser=0&hl=en&rclk=1,Mobile Tyre Service in Qatar,notavailable,"B Ring Road, St 220, Doha",mobiletyrerepair.qa,6685 8024,0x3e460d3f9af41079:0x9d1b7d1d27bbadb8,4.9,275,notavailable,notavailable,25.2748138,51.524877,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,Monday-Sunday 24 Hours,0x3e460d3f9af41079:0x9d1b7d1d27bbadb8,success,2026-03-02T20:41:49.270Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/Amigos+Car+Care/data=!4m7!3m6!1s0x3e45c5ac8a3e9bed:0xc3b80a210e864de4!8m2!3d25.2767341!4d51.5199362!16s%2Fg%2F11rxjg1zp2!19sChIJ7Zs-iqzFRT4R5E2GDiEKuMM?authuser=0&hl=en&rclk=1,Amigos Car Care,notavailable,"Near Jaidah Flyover, Bring road, Doha",amigoscarcare.com,7776 2197,0x3e45c5ac8a3e9bed:0xc3b80a210e864de4,4.5,115,notavailable,notavailable,25.2767341,51.5199362,8 AM-2 PM7:30 PM-1:30 AM,8 AM-2 PM7:30 PM-1:30 AM,8 AM-2 PM7:30 PM-1:30 AM,8 AM-2 PM7:30 PM-1:30 AM,8 AM-2 PM7:30 PM-1:30 AM,Closed,8 AM-2 PM7:30 PM-1:30 AM,0x3e45c5ac8a3e9bed:0xc3b80a210e864de4,success,2026-03-02T20:41:58.414Z,,https://lh3.googleusercontent.com/p/AF1QipM9wHoTy3FEJda8eLlvledyqCHq0aqcRereg63u=w426-h240-k-no,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/Sylvie+tire+repair/data=!4m7!3m6!1s0x3e45c55a40d8d759:0xac84e80c65b09f77!8m2!3d25.270914!4d51.5255625!16s%2Fg%2F11srykj6p9!19sChIJWdfYQFrFRT4Rd5-wZQzohKw?authuser=0&hl=en&rclk=1,Sylvie tire repair,notavailable,"zone 55 building, Salwa road, 14 Street 485, Doha",notavailable,5056 8083,0x3e45c55a40d8d759:0xac84e80c65b09f77,2.5,2,notavailable,notavailable,25.270914,51.5255625,7 AM-12 AM,6 AM-12 AM,6 AM-12 AM,6 AM-12 AM,6 AM-12 AM,Closed,6 AM-12 AM,0x3e45c55a40d8d759:0xac84e80c65b09f77,success,2026-03-02T20:42:07.132Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/All+Auto+Center/data=!4m7!3m6!1s0x3e45cf71503b20bb:0xcfb5048be87433e4!8m2!3d25.2479376!4d51.52389!16s%2Fg%2F11rq3xtmtk!19sChIJuyA7UHHPRT4R5DN06IsEtc8?authuser=0&hl=en&rclk=1,All Auto Center,notavailable,"Rawdat Al Khail St, Doha",allautocenter.com,4465 7381,0x3e45cf71503b20bb:0xcfb5048be87433e4,4.3,70,notavailable,notavailable,25.2479376,51.52389,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,8 AM-12 AM,9 AM-12 PM4-10 PM,4 PM-12 AM,8 AM-12 AM,0x3e45cf71503b20bb:0xcfb5048be87433e4,success,2026-03-02T20:42:16.259Z,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2xb9mNDk01VVNv5rK4A62lqZ3Frf7pUF_wr-qck33lt00SP4JXFsYKizRlDLfpu2KzCbzQtfsP9SnnDOCCZ3PPoEIN_WVktpDPZFRIrhdzJQZcdLxead0K7hKhJ3f3Dcu4kCDaw=w408-h450-k-no,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2xb9mNDk01VVNv5rK4A62lqZ3Frf7pUF_wr-qck33lt00SP4JXFsYKizRlDLfpu2KzCbzQtfsP9SnnDOCCZ3PPoEIN_WVktpDPZFRIrhdzJQZcdLxead0K7hKhJ3f3Dcu4kCDaw=w269-h298-k-no,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/New+Future+Auto+Maintenance/data=!4m7!3m6!1s0x3e45c5b8ec4fd74d:0xc3bfafbb96eeb0d2!8m2!3d25.27492!4d51.5296697!16s%2Fg%2F11vt9y05hz!19sChIJTddP7LjFRT4R0rDulruvv8M?authuser=0&hl=en&rclk=1,New Future Auto Maintenance,notavailable,"B Ring Rd, Doha",notavailable,5530 5474 ext. 55561424,0x3e45c5b8ec4fd74d:0xc3bfafbb96eeb0d2,3.8,16,notavailable,notavailable,25.27492,51.5296697,7 AM-12 AM,7 AM-12 AM,7 AM-12 AM,7 AM-12 AM,7 AM-12 AM,Closed,7 AM-12 AM,0x3e45c5b8ec4fd74d:0xc3bfafbb96eeb0d2,success,2026-03-02T20:42:25.161Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/The+Top+Quality+For+Cars/data=!4m7!3m6!1s0x3e45c57fac768787:0xb82c52f85afbe278!8m2!3d25.271376!4d51.5438267!16s%2Fg%2F11h1yvs7yz!19sChIJh4d2rH_FRT4ReOL7WvhSLLg?authuser=0&hl=en&rclk=1,The Top Quality For Cars,notavailable,"Al Mansoura St, Doha",topqualityqatar.com,3310 4025,0x3e45c57fac768787:0xb82c52f85afbe278,4.2,154,notavailable,notavailable,25.271376,51.5438267,8 AM-1 PM7:30 PM-1 AM,8 AM-1 PM7:30 PM-1 AM,8 AM-1 PM7:30 PM-1 AM,8 AM-1 PM7:30 PM-1 AM,8 AM-1 PM7:30 PM-1 AM,7:30-11:30 PM,8 AM-1 PM7:30 PM-1 AM,0x3e45c57fac768787:0xb82c52f85afbe278,success,2026-03-02T20:42:35.024Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/Mobile+Tire+Assist+Doha/data=!4m7!3m6!1s0x3e45cfcd71df4023:0xf74fffe132153aab!8m2!3d25.2707117!4d51.5368345!16s%2Fg%2F11sh74hhyx!19sChIJI0Dfcc3PRT4RqzoVMuH_T_c?authuser=0&hl=en&rclk=1,Mobile Tire Assist Doha,notavailable,"Street 841st, Doha",durablesites.com,7749 5170,0x3e45cfcd71df4023:0xf74fffe132153aab,4.9,55,notavailable,notavailable,25.2707117,51.5368345,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,0x3e45cfcd71df4023:0xf74fffe132153aab,success,2026-03-02T20:42:42.597Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,"https://www.google.com/maps/place/Top+Wheel+Auto+Services,+Alignment+And+Tyres/data=!4m7!3m6!1s0x3e45c55e1041adb3:0x83f9d741db97de27!8m2!3d25.2748013!4d51.522282!16s%2Fg%2F11rwph9b9p!19sChIJs61BEF7FRT4RJ96X20HX-YM?authuser=0&hl=en&rclk=1","Top Wheel Auto Services, Alignment And Tyres",notavailable,"B Ring Rd, Doha",notavailable,3370 0179,0x3e45c55e1041adb3:0x83f9d741db97de27,4.7,73,notavailable,notavailable,25.2748013,51.522282,8 AM-11 PM,8 AM-11 PM,8 AM-11 PM,8 AM-11 PM,8 AM-11 PM,3:30-11 PM,8 AM-11 PM,0x3e45c55e1041adb3:0x83f9d741db97de27,success,2026-03-02T20:42:49.663Z,,,,,,,,,,,,,,,,,,,,
car auto tire change,https://www.google.com/maps/place/Topco+Tyres+and+Auto+Parts/data=!4m7!3m6!1s0x3e45db854cb1adcb:0x45b5ae2d264189a3!8m2!3d25.2778628!4d51.4992729!16s%2Fg%2F11y6p16db0!19sChIJy62xTIXbRT4Ro4lBJi2utUU?authuser=0&hl=en&rclk=1,Topco Tyres and Auto Parts,notavailable,"Al Kinana, Doha",topqualityqatar.com,5187 1000,0x3e45db854cb1adcb:0x45b5ae2d264189a3,4.4,77,notavailable,notavailable,25.2778628,51.4992729,8:30 AM-3 PM7:30 PM-2 AM,8:30 AM-3 PM7:30 PM-2 AM,8:30 AM-3 PM7:30 PM-2 AM,8:30 AM-3 PM7:30 PM-2 AM,8:30 AM-3 PM7:30 PM-2 AM,8:30 AM-3 PM7:30 PM-2 AM,8:30 AM-3 PM7:30 PM-2 AM,0x3e45db854cb1adcb:0x45b5ae2d264189a3,success,2026-03-02T20:42:56.919Z,,,,,,,,,,,,,,,,,,,,
